x,y,psi,vorticity,u,v
0.0234375,0.078125,-2.00725e-06,0.0324027,-0.000314522,0.000194805
0.0234375,0.0859375,-3.69281e-06,0.0391208,-0.00046315,0.00023614
0.0234375,0.09375,-5.69693e-06,0.046621,-0.000636656,0.000276134
0.0234375,0.101562,-8.00741e-06,0.0549041,-0.000834224,0.000314414
0.0234375,0.109375,-1.06097e-05,0.0639586,-0.00105483,0.000350724
0.0234375,0.117188,-1.34875e-05,0.0737635,-0.0012973,0.000384894
0.0234375,0.125,-1.66236e-05,0.0842901,-0.00156036,0.000416824
0.0234375,0.132812,-2.00004e-05,0.0955042,-0.00184268,0.000446465
0.0234375,0.140625,-2.35996e-05,0.107367,-0.00214289,0.000473803
0.0234375,0.148438,-2.74035e-05,0.119838,-0.00245959,0.000498857
0.0234375,0.15625,-3.13943e-05,0.132873,-0.00279142,0.000521665
0.0234375,0.164062,-3.55546e-05,0.146428,-0.003137,0.000542281
0.0234375,0.171875,-3.98674e-05,0.160456,-0.00349501,0.000560768
0.0234375,0.179688,-4.43165e-05,0.174912,-0.00386412,0.000577196
0.0234375,0.1875,-4.88861e-05,0.189751,-0.00424309,0.000591641
0.0234375,0.195312,-5.35609e-05,0.204928,-0.00463068,0.000604177
0.0234375,0.203125,-5.83264e-05,0.220397,-0.00502569,0.000614877
0.0234375,0.210938,-6.31684e-05,0.236115,-0.005427,0.000623815
0.0234375,0.21875,-6.80735e-05,0.252039,-0.00583348,0.000631059
0.0234375,0.226562,-7.30287e-05,0.268127,-0.00624407,0.000636671
0.0234375,0.234375,-7.80215e-05,0.284338,-0.00665773,0.000640711
0.0234375,0.242188,-8.30398e-05,0.30063,-0.00707346,0.000643232
0.0234375,0.25,-8.8072e-05,0.316966,-0.0074903,0.00064428
0.0234375,0.257812,-9.31067e-05,0.333305,-0.00790729,0.000643899
0.0234375,0.265625,-9.81329e-05,0.34961,-0.00832351,0.000642122
0.0234375,0.273438,-0.00010314,0.365844,-0.00873807,0.000638981
